query_case_id,stratum,query_year,true_label,expected_authority,a_n_evidence,a_selected_ids,a_checks_performed,d_n_checks,d_checks_passed,d_all_passed,d_temporal_violations,d_unsupported,d_rejected_items,d_output_changed_vs_a,probe_passage_rejected,probe_authority_rejected,probe_temporal_rejected,e3_predicted_label,e4_predicted_label
1971_295,base30,1971,1,[1967] 2 S.C.R. 496,5,1961_1_88_96::p0004::c001;1964_3_25_37::p0003::c001;1964_5_683_800::p0031::c002;1970_1_163_171::p0002::c005;S_1963_1_408_418::p0002::c005,0,5,5,1,0,0,0,0,True,True,True,1,1
1974_36,base30,1974,1,[1966] Supp. 1 S.C.R. 63,5,1968_2_572_576::p0001::c008;1964_5_86_104::p0008::c001;1971_1_671_682::p0002::c002;1962_3_483_496::p0004::c003;1970_1_435_442::p0002::c003,0,5,5,1,0,0,0,0,True,True,True,1,1
1977_145,base30,1977,1,[1965] 1 S.C.R. 686,5,1965_2_547_576::p0028::c002;1968_2_887_891::p0004::c003;1950_1_754_758::p0005::c003;S_1976_1_74_81::p0001::c005;1974_3_915_930::p0008::c001,0,5,5,1,0,0,0,0,True,True,True,1,1
1977_99,base30,1977,1,[1966] 3 S.C.R. 527,5,1966_3_527_542::p0015::c005;1968_2_515_521::p0004::c002;1962_1_929_946::p0004::c002;S_1959_1_142_153::p0012::c004;1975_2_138_160::p0016::c003,0,5,5,1,0,0,0,0,True,True,True,1,1
1978_33,base30,1978,1,[1962] 1 S.C.R. 574,5,1955_2_1140_1196::p0022::c002;1978_1_423_515::p0080::c002;1967_3_186_198::p0001::c003;1964_3_297_357::p0022::c003;1960_2_89_117::p0017::c001,0,5,5,1,0,0,0,0,True,True,True,1,1
1980_105,base30,1980,0,[1973] 3 S.C.R. 117,5,1973_3_117_122::p0002::c004;1972_3_898_905::p0004::c002;1977_1_702_708::p0004::c002;1980_1_209_227::p0013::c003;1979_3_242_253::p0007::c001,0,5,5,1,0,0,0,0,True,True,True,0,0
1980_133,base30,1980,1,[1957] 1 S.C.R. 121,5,1967_3_727_735::p0003::c002;1970_1_507_522::p0009::c004;1973_3_303_312::p0001::c002;1965_3_448_452::p0002::c005;1964_5_379_387::p0005::c003,0,5,5,1,0,0,0,0,True,True,True,1,1
1980_217,base30,1980,1,[1978] 3 S.C.R. 370,5,S_1959_1_892_904::p0010::c001;1958_1_1067_1080::p0014::c004;1958_1_1080_1102::p0001::c004;1967_2_625_630::p0004::c003;1974_2_335_347::p0010::c001,0,5,5,1,0,0,0,0,True,True,True,0,0
1980_222,base30,1980,1,[1979] 2 S.C.R. 75,5,1979_2_75_81::p0004::c001;1979_2_282_291::p0010::c001;1975_2_483_490::p0003::c002;1978_3_782_788::p0004::c002;1951_1_292_302::p0007::c003,0,5,5,1,0,0,0,0,True,True,True,1,1
1981_187,base30,1981,1,[1958] 1 S.C.R. 1495,5,1979_2_805_815::p0003::c003;1958_1_1495_1504::p0002::c001;1978_1_635_640::p0002::c003;1968_3_685_691::p0001::c004;1958_1_1422_1495::p0074::c004,0,5,5,1,0,0,0,0,True,True,True,0,0
1981_55,base30,1981,1,[1970] 1 S.C.R. 565,5,1979_2_75_81::p0001::c002;1980_3_1127_1142::p0002::c006;1979_2_282_291::p0002::c006;1975_2_483_490::p0004::c001;1960_3_431_440::p0007::c001,0,5,5,1,0,0,0,0,True,True,True,1,1
1982_29,base30,1982,1,[1976] 3 S.C.R. 160,5,1976_3_160_167::p0005::c002;1981_3_518_535::p0012::c001;1965_3_448_452::p0004::c001;S_1973_1_1_1002::p0009::c002;1979_2_45_61::p0014::c003,0,5,5,1,0,0,0,0,True,True,True,0,0
1984_136,base30,1984,1,[1958] 1 S.C.R. 828,5,1983_2_418_447::p0005::c002;1983_1_1_7::p0002::c004;1982_2_365_1455::p1047::c001;1974_3_754_759::p0002::c004;1980_3_1006_1014::p0003::c004,0,5,5,1,0,0,0,0,True,True,True,1,1
1985_40,base30,1985,1,[1964] 2 S.C.R. 888,5,1984_3_930_941::p0009::c001;1972_3_770_783::p0005::c001;1980_3_1109_1121::p0001::c005;1971_3_506_521::p0003::c002;1973_1_822_840::p0004::c004,0,5,5,1,0,0,0,0,True,True,True,0,0
1986_176,base30,1986,1,[1963] 3 S.C.R. 884,5,1970_2_129_135::p0002::c006;1963_3_884_893::p0005::c002;1970_1_803_807::p0002::c006;1968_2_833_841::p0001::c002;1963_3_858_884::p0027::c004,0,5,5,1,0,0,0,0,True,True,True,1,1
1986_378,base30,1986,1,[1985] 1 SCC 305,5,1985_1_751_770::p0009::c002;1981_2_533_599::p0013::c002;1980_3_331_363::p0025::c001;1977_3_525_528::p0002::c006;1981_1_206_342::p0062::c001,0,5,5,1,0,0,0,0,True,True,True,0,0
1986_397,base30,1986,1,(1978) 3 SCC 119,5,1984_3_309_314::p0002::c003;1984_2_35_49::p0001::c002;S_1985_1_561_566::p0001::c001;1985_1_971_979::p0003::c003;1982_1_894_903::p0003::c002,0,5,5,1,0,0,0,0,True,True,True,1,1
1988_96,base30,1988,0,[1980] 46 STC 63,5,1980_3_1271_1277::p0001::c005;1982_1_55_68::p0006::c003;1966_2_669_673::p0001::c003;1969_3_490_496::p0006::c004;1986_2_927_941::p0004::c001,0,5,5,1,0,0,0,0,True,True,True,0,0
